Fecha;Tipo Mensaje;Mensaje
2019/10/01 9:38:27 PM;POWEROFF;+RESP:GTPFA,27860E,867162027426394,gv300wins,20191002023827,143E$
2019/10/01 9:28:47 PM;INFO;+RESP:GTINF,27860E,867162027426394,gv300wins,11,8934072200000568320f,27,0,0,0,0000,3.53,0,1,2,1,20191001162744,0,0,0,04,00,+0000,0,20191002022846,143D$
2019/10/01 9:27:45 PM;GPS;+RESP:GTFRI,27860E,867162027426394,gv300wins,,10,1,0,2.7,121,2838.9,-78.481011,-0.206791,20191001162744,0740,0000,853D,B891C,00,0.4,,,,3,110400,,,,20191002022744,143C$
2019/10/01 9:26:35 PM;POWERLOW;+RESP:GTBPL,27860E,867162027426394,gv300wins,3.55,0,2.7,121,2838.9,-78.481011,-0.206791,20191001162744,0740,0000,853D,B891C,00,20191002022634,143B$
2019/10/01 9:18:47 PM;INFO;+RESP:GTINF,27860E,867162027426394,gv300wins,11,8934072200000568320f,27,0,0,0,0000,3.58,0,1,2,1,20191001162744,0,0,0,04,00,+0000,0,20191002021846,143A$
2019/10/01 9:08:47 PM;INFO;+RESP:GTINF,27860E,867162027426394,gv300wins,11,8934072200000568320f,27,0,0,0,0000,3.58,0,1,2,1,20191001162744,0,0,0,04,00,+0000,0,20191002020846,1439$
2019/10/01 8:58:47 PM;INFO;+RESP:GTINF,27860E,867162027426394,gv300wins,11,8934072200000568320f,27,0,0,0,0000,3.58,0,1,2,1,20191001162744,0,0,0,04,00,+0000,0,20191002015846,1438$
2019/10/01 8:57:44 PM;GPS;+RESP:GTFRI,27860E,867162027426394,gv300wins,,10,1,0,2.7,121,2838.9,-78.481011,-0.206791,20191001162744,0740,0000,853D,B891C,00,0.4,,,,10,110400,,,,20191002015744,1437$
2019/10/01 8:48:46 PM;INFO;+RESP:GTINF,27860E,867162027426394,gv300wins,11,8934072200000568320f,27,0,0,0,0000,3.63,0,1,2,1,20191001162744,0,0,0,04,00,+0000,0,20191002014846,1436$
2019/10/01 8:38:46 PM;INFO;+RESP:GTINF,27860E,867162027426394,gv300wins,11,8934072200000568320f,27,0,0,0,0000,3.63,0,1,2,1,20191001162744,0,0,0,04,00,+0000,0,20191002013846,1435$
2019/10/01 8:28:46 PM;INFO;+RESP:GTINF,27860E,867162027426394,gv300wins,11,8934072200000568320f,31,0,0,0,0000,3.63,0,1,2,1,20191001162744,0,0,0,04,00,+0000,0,20191002012846,1434$
