3174872;2019-07-25 12:29:10.280;867162026400085;+RESP:GTSTT,27860E,867162026400085,gv300wins,12,0,0.0,186,2868.3,-78.481176,-0.116204,20190724232258,0740,0000,8157,A87B4,00,20190724232300,114A$;1564010578861;Message;NULL
3174873;2019-07-25 12:29:10.287;867162026400085;,01,00,21,12005,4.17,0,00000,,,,20190725122851,0032$;1564057733972;Message;NULL
3174874;2019-07-25 12:29:10.290;867162026400085;+RESP:GTUDT,27860E,0618,0108,,867162026400085,gv300wins,0,,1,1,1.0,186,2875.3,-78.481155,-0.116329,20190725122846,0740,0000,8157,A7814,00,252692.0,,,,1,23,,0,0,01,00,21,12005,4.17,0,00000,,,,20190725122852,0033$;1564057733984;Message;NULL
3174875;2019-07-25 12:29:10.293;867162026400085;+RESP:GTUDT,27860E,0618,0108,,867162026400085,gv300wins,0,,1,1,1.0,186,2875.3,-78.481155,-0.116329,20190725122846,0740,0000,8157,A7814,00,252692.0,,,,1,23,,0,0,01,00,21,12005,4.17,0,00000,,,,20190725122853,0034$;1564057733994;Message;NULL
3174876;2019-07-25 12:29:10.297;867162026400085;+RESP:GTUDT,27860E,0618,0108,,867162026400085,gv300wins,0,,1,1,1.0,186,2875.3,-78.481155,-0.116329,20190725122846,0740,0000,8157,A7814,00,252692.0,,,,1,23,,0,0,01,00,21,12005,4.17,0,00000,,,,20190725122854,0035$;1564057734007;Message;NULL
3174877;2019-07-25 12:29:10.303;867162026400085;"{""altitude"":2875.3,""cellId"":""A7814"",""countNumber"":""0033"",""generatedMessageTime"":1566754132992,""gpsAccuracy"":1,""gpsReportType"":0,""gpsStatus"":1,""hasSensorInfoData"":false,""heading"":0,""imei"":""867162026400085"",""isOld"":false,""isSpeedWarning"":false,""latitude"":-0.116329,""locationArea"":""8157"",""longitude"":-78.481155,""messageTime"":1566754126991,""messageType"":null,""mileage"":252692.0,""mobileCountryCode"":""0740"",""mobileNetworkCode"":""0000"",""motionState"":""None"",""number"":1,""sensorInfoData"":null,""sentenceType"":""GTUDT"",""speed"":1.0,""analogInputVcc1"":0,""analogInputVcc2"":0,""azimuth"":186,""backupBatteryLevel"":4.17,""charging"":false,""digitalInput"":1,""externalGnssAntenna"":1,""externalPowerVcc"":12005,""geoFenceStatus"":false,""gsvNumber"":23,""hmc"":null}";1564057734170;Parsed;NULL
3174878;2019-07-25 12:29:10.310;867162026400085;"{""altitude"":2875.3,""cellId"":""A7814"",""countNumber"":""0034"",""generatedMessageTime"":1566754133179,""gpsAccuracy"":1,""gpsReportType"":0,""gpsStatus"":1,""hasSensorInfoData"":false,""heading"":0,""imei"":""867162026400085"",""isOld"":false,""isSpeedWarning"":false,""latitude"":-0.116329,""locationArea"":""8157"",""longitude"":-78.481155,""messageTime"":1566754126179,""messageType"":null,""mileage"":252692.0,""mobileCountryCode"":""0740"",""mobileNetworkCode"":""0000"",""motionState"":""None"",""number"":1,""sensorInfoData"":null,""sentenceType"":""GTUDT"",""speed"":1.0,""analogInputVcc1"":0,""analogInputVcc2"":0,""azimuth"":186,""backupBatteryLevel"":4.17,""charging"":false,""digitalInput"":1,""externalGnssAntenna"":1,""externalPowerVcc"":12005,""geoFenceStatus"":false,""gsvNumber"":23,""hmc"":null}";1564057734242;Parsed;NULL
3174879;2019-07-25 12:29:10.310;867162026400085;"{""altitude"":2875.3,""cellId"":""A7814"",""countNumber"":""0035"",""generatedMessageTime"":1566754134252,""gpsAccuracy"":1,""gpsReportType"":0,""gpsStatus"":1,""hasSensorInfoData"":false,""heading"":0,""imei"":""867162026400085"",""isOld"":false,""isSpeedWarning"":false,""latitude"":-0.116329,""locationArea"":""8157"",""longitude"":-78.481155,""messageTime"":1566754126252,""messageType"":null,""mileage"":252692.0,""mobileCountryCode"":""0740"",""mobileNetworkCode"":""0000"",""motionState"":""None"",""number"":1,""sensorInfoData"":null,""sentenceType"":""GTUDT"",""speed"":1.0,""analogInputVcc1"":0,""analogInputVcc2"":0,""azimuth"":186,""backupBatteryLevel"":4.17,""charging"":false,""digitalInput"":1,""externalGnssAntenna"":1,""externalPowerVcc"":12005,""geoFenceStatus"":false,""gsvNumber"":23,""hmc"":null}";1564057734322;Parsed;NULL
3174880;2019-07-25 12:29:10.317;867162026400085;+RESP:GTPNR,27860E,867162026400085,gv300wins,3,,,,,20190725122908,123D$;1564057746646;Message;NULL
3174881;2019-07-25 12:29:10.320;867162026400085;+RESP:GTPNR,27860E,867162026400085,gv300wins,3,,,,,20190725122908,123D$;1564057746670;Unparsed;NULL
